id,price,room,district,subway,subway distance (min),square footage,livable space,kitchen space,floor,number of floors,construction year,parking,apartment type,house type,renovation,bathroom,balcony,elevator
291808098,6999999.0,1,Приморский,Комендантский проспект,11,33.85,13.9,10.0,3,12,2024,,Новостройка,Монолитно-кирпичный,,1.0,1,2.0
285530874,6990000.0,2,Калининский,Академическая,3,43.2,28.0,6.0,1,3,1958,,Вторичка,Кирпичный,Без,1.0,,
288160784,7092422.0,1,Фрунзенский,Обводный канал,18,22.6,9.7,5.9,2,14,2025,Открытая,Новостройка,Монолитный,,1.0,,2.0
294824539,7000000.0,1,Кировский,Ленинский проспект,17,31.3,20.0,,20,28,2009,Наземная,Вторичка,Монолитный,Евроремонт,1.0,1,3.0
294516572,7000000.0,1,Центральный,Лиговский проспект,5,25.0,,7.0,4,4,,,Вторичка,Кирпичный,Без,1.0,,
293741140,7000000.0,2,Фрунзенский,Международная,20,44.2,27.5,6.8,5,9,1969,Наземная,Вторичка,Блочный,Косметический,1.0,,1.0
294435349,7000000.0,1,Невский,Елизаровская,6,34.6,11.7,16.7,2,19,2025,,Новостройка,Панельный,,1.0,,
292270671,7000000.0,3,Кировский,Проспект Ветеранов,8,60.0,44.0,6.3,1,9,1973,,Вторичка,Панельный,Косметический,1.0,1,1.0
280074267,7000000.0,1,Приморский,Комендантский проспект,15,44.4,18.8,13.4,10,21,,Наземная,Вторичка,Панельный,Евроремонт,1.0,1,2.0
293571788,7000000.0,1,Выборгский,Проспект Просвещения,10,35.0,11.0,15.0,16,17,2022,Наземная,Вторичка,Монолитный,Косметический,1.0,1,3.0
288311706,7100000.0,3,Кировский,Проспект Ветеранов,8,60.4,44.0,6.8,6,9,1982,,Вторичка,Панельный,Без,1.0,1,1.0
294518554,7100000.0,1,Пушкинский,Купчино,22,38.7,17.1,10.8,1,5,2007,,Вторичка,Монолитный,Косметический,1.0,1,
294565585,7212420.0,1,Приморский,Проспект Просвещения,5,37.07,10.9,14.0,22,25,2024,,Новостройка,Монолитный,,1.0,1,3.0
294361235,7200000.0,1,Калининский,Лесная,28,31.6,20.6,5.0,8,16,2017,Подземная,Вторичка,Блочный,Косметический,1.0,1,2.0
294706831,7216480.0,1,Невский,Ломоносовская,5,36.8,11.4,18.5,8,18,2023,Гостевая,Новостройка,Панельный,,,,7.0
294640578,7150275.0,1,Красносельский,Проспект Ветеранов,16,33.98,17.0,10.0,1,4,2024,Гостевая,Новостройка,Монолитно-кирпичный,,,1,
293258911,7200000.0,1,Выборгский,Парнас,14,38.0,15.5,15.7,7,26,2012,,Вторичка,Кирпичный,Евроремонт,1.0,1,3.0
292416217,7200000.0,1,Василеостровский,Приморская,11,31.2,17.0,6.0,1,5,1963,Открытая,Вторичка,Кирпичный,Косметический,1.0,,
280879994,7190000.0,2,Приморский,Беговая,15,37.3,14.2,11.6,2,24,2023,,Новостройка,Монолитный,,1.0,,2.0
294548809,7200000.0,1,Фрунзенский,Международная,8,36.0,,8.0,7,9,1971,Наземная,Вторичка,Монолитный,Косметический,1.0,1,1.0
294734892,7200000.0,1,Невский,Рыбацкое,13,38.6,20.1,10.2,7,12,1986,Наземная,Вторичка,Панельный,Дизайнерский,1.0,1,2.0
292009810,7180000.0,2,Колпинский,Рыбацкое,8,45.0,28.3,7.0,2,9,,Наземная,Вторичка,Панельный,Косметический,1.0,1,1.0
286230938,7200000.0,3,Невский,Улица Дыбенко,8,56.4,41.7,5.8,4,5,,,Вторичка,Кирпичный,Без,1.0,,
292820215,7200000.0,1,Приморский,Пионерская,5,29.0,18.7,,9,25,2024,,Новостройка,Монолитный,,1.0,1,
290271838,7250000.0,1,Пушкинский,Московская,18,38.4,9.5,15.6,1,4,2019,Наземная,Вторичка,Монолитный,Косметический,1.0,1,1.0
293709301,7290000.0,2,Московский,Звездная,13,46.2,30.1,5.6,1,5,1965,Наземная,Вторичка,Кирпичный,Без,1.0,1,
292675146,7280000.0,1,Кировский,Кировский завод,9,32.0,18.0,6.0,4,5,1960,,Вторичка,Кирпичный,Дизайнерский,1.0,1,
292229286,7250000.0,2,Фрунзенский,Проспект Славы,19,45.0,29.0,8.0,2,9,1965,Наземная,Вторичка,Кирпичный,Без,1.0,1,1.0
292285551,7300000.0,1,Василеостровский,Приморская,7,31.5,13.2,9.7,2,14,2017,Наземная,Вторичка,Монолитный,Евроремонт,1.0,1,2.0
294538531,7329910.0,1,Московский,Звездная,15,34.3,22.7,,8,12,2021,Подземная,Новостройка,Монолитный,,,,2.0
292512766,7322599.0,1,Выборгский,Лесная,6,21.3,10.0,5.5,1,13,2026,Открытая,Новостройка,Панельный,,1.0,,2.0
289549768,7300000.0,1,Приморский,Проспект Просвещения,11,37.07,10.9,14.0,15,25,2024,,Новостройка,Монолитный,,,1,
293779891,7300000.0,1,Выборгский,Парнас,7,32.0,20.0,8.0,4,28,2016,Наземная,Вторичка,,Дизайнерский,1.0,1,7.0
164961353,7300000.0,2,Невский,Улица Дыбенко,10,50.0,30.0,9.5,1,9,1970,,Вторичка,,Без,1.0,,1.0
293375309,7390000.0,2,Выборгский,Проспект Просвещения,7,51.2,32.1,7.9,9,9,1976,,Вторичка,Панельный,Косметический,1.0,,1.0
293616184,7392341.0,2,Невский,Елизаровская,17,54.78,,,2,14,2026,"Подземная,",Новостройка,Монолитно-кирпичный,,,,2.0
292226795,7350000.0,1,Выборгский,,,36.0,14.0,15.0,17,25,2012,Подземная,Вторичка,Кирпичный,Евроремонт,1.0,1,3.0
292523660,7416000.0,1,Невский,Ломоносовская,20,31.29,,,13,13,2022,Наземная,Вторичка,Монолитно-кирпичный,Евроремонт,,,2.0
292197037,7400000.0,1,Красносельский,Проспект Ветеранов,13,32.7,10.2,15.4,4,4,2021,,Вторичка,Монолитный,Евроремонт,1.0,1,1.0
292197570,7350000.0,1,Красносельский,Проспект Ветеранов,10,41.7,16.9,12.5,7,16,2006,Наземная,Вторичка,Панельный,Косметический,1.0,1,2.0
285929492,7400000.0,1,Приморский,,,33.4,10.6,14.3,6,9,,,Вторичка,Монолитный,Евроремонт,1.0,1,
291492066,7490000.0,3,Московский,Электросила,13,44.0,29.8,4.7,3,5,1934,,Вторичка,Кирпичный,Косметический,1.0,,
286951032,7488450.0,3,Пушкинский,Купчино,11,55.47,35.2,6.2,12,12,2026,Гостевая,Новостройка,Монолитный,,,,
290825393,7450000.0,3,Кировский,Проспект Ветеранов,11,59.18,42.5,6.0,1,9,1969,,Вторичка,Кирпичный,Косметический,1.0,,1.0
294565117,7595551.0,1,Приморский,Комендантский проспект,7,32.9,,,7,10,2023,,Новостройка,Монолитный,,,,1.0
294676378,7500000.0,2,Невский,Проспект Большевиков,16,50.8,30.3,7.2,12,14,1986,Наземная,Вторичка,,Косметический,1.0,1,2.0
294588809,7558362.0,2,Выборгский,Парнас,4,40.14,12.8,17.1,25,25,2023,"Подземная,",Новостройка,Монолитный,,,,
286429029,7557647.0,1,Невский,,,35.82,15.7,11.1,6,17,2025,Подземная,Новостройка,Монолитный,,1.0,1,2.0
270930303,7590000.0,3,Красногвардейский,Ладожская,14,70.0,50.0,8.0,1,2,1958,,Вторичка,Кирпичный,Косметический,1.0,,
293272101,7590000.0,2,Фрунзенский,Международная,5,41.7,,,4,5,1967,Наземная,Вторичка,Панельный,Косметический,1.0,1,
294424486,7600000.0,2,Приморский,Комендантский проспект,17,50.0,29.4,6.2,6,9,1978,Наземная,Вторичка,Панельный,Косметический,1.0,1,1.0
294546233,7638120.0,1,Красносельский,Автово,7,34.64,11.8,16.5,2,23,2025,Подземная,Новостройка,Монолитный,,1.0,,2.0
294542080,7602390.0,2,Красногвардейский,Академическая,15,45.66,20.8,15.5,1,19,2024,"Подземная,",Новостройка,Монолитный,,1.0,,1.0
285131389,7600000.0,1,Выборгский,Проспект Просвещения,23,43.0,19.0,9.0,8,28,2018,,Вторичка,,Без,1.0,1,
291572534,7600000.0,1,Фрунзенский,Бухарестская,3,26.8,,,10,18,2023,Подземная,Вторичка,Монолитный,Дизайнерский,1.0,,4.0
290865435,7600000.0,1,Красносельский,Проспект Ветеранов,14,42.3,18.0,15.0,11,12,2016,,Вторичка,,Евроремонт,1.0,1,3.0
293378854,7600000.0,2,Московский,Звездная,5,48.8,33.3,5.5,5,5,1964,,Вторичка,Кирпичный,Косметический,1.0,,
286343927,7735912.0,1,Калининский,Выборгская,20,32.99,13.1,10.8,1,19,2025,"Подземная,",Новостройка,Монолитный,,1.0,1,
293797814,7690000.0,1,Василеостровский,Приморская,3,32.5,17.0,8.0,6,9,1973,,Вторичка,Панельный,Евроремонт,1.0,,1.0
293035363,7700000.0,1,Приморский,Пионерская,11,28.4,19.0,,9,17,2021,,Вторичка,Монолитный,Косметический,1.0,,2.0
291817863,7700000.0,2,Кировский,Автово,17,47.0,29.8,6.3,1,9,1975,Наземная,Вторичка,Панельный,Косметический,1.0,,1.0
285970251,7690000.0,1,Фрунзенский,Купчино,23,39.0,16.0,9.3,8,17,1987,,Вторичка,Кирпичный,Косметический,1.0,1,2.0
291882640,7650000.0,0,Центральный,Адмиралтейская,13,33.0,30.0,,1,8,1875,Наземная,Вторичка,Кирпичный,Без,,,1.0
288650965,7790000.0,1,Красногвардейский,Новочеркасская,9,30.0,9.5,9.7,2,16,2022,Подземная,Вторичка,Монолитный,Дизайнерский,1.0,1,2.0
293614762,7800000.0,1,Приморский,Комендантский проспект,17,39.2,20.0,10.7,6,16,,,Вторичка,,Косметический,1.0,1,3.0
294535378,7800145.0,1,Невский,Елизаровская,15,24.84,18.3,,3,7,2025,"Подземная,",Новостройка,Монолитно-кирпичный,,,1,30.0
294538562,7802300.0,1,Московский,Звездная,15,34.6,25.6,,11,12,2021,Подземная,Новостройка,Монолитный,,,,2.0
293113225,7800073.0,1,Невский,Ломоносовская,15,24.1,18.1,,10,17,2023,,Новостройка,Монолитно-кирпичный,,,1,2.0
287592772,7800000.0,1,Фрунзенский,Обводный канал,12,29.8,17.9,,9,11,2020,,Вторичка,Монолитный,Без,1.0,1,2.0
286761243,7800000.0,3,Пушкинский,Купчино,29,62.0,45.3,5.5,2,5,1984,Наземная,Вторичка,Панельный,Евроремонт,1.0,1,
294033169,7885023.0,2,Московский,Звездная,18,45.54,22.6,9.7,1,5,2025,"Подземная,",Новостройка,Монолитный,,1.0,,1.0
286119353,7870000.0,1,Приморский,Пионерская,7,40.4,18.2,10.5,2,16,2006,,Вторичка,Кирпичный,Косметический,1.0,,2.0
293983805,7886900.0,1,Выборгский,Политехническая,18,26.6,,,2,9,2024,Гостевая,Новостройка,Кирпичный,,,,
294563044,7850000.0,1,Невский,Рыбацкое,7,39.0,20.0,10.0,6,12,1988,,Вторичка,Панельный,Евроремонт,1.0,1,2.0
294364450,7900000.0,1,Василеостровский,Приморская,16,33.5,17.3,7.8,1,12,1972,,Вторичка,Панельный,Евроремонт,1.0,,2.0
294459894,7999999.0,1,Кировский,Нарвская,26,37.0,16.0,10.0,8,12,2021,,Вторичка,,Евроремонт,1.0,1,2.0
288808223,7900000.0,3,Кировский,Проспект Ветеранов,10,56.6,39.1,6.3,2,9,1969,,Вторичка,Панельный,Косметический,1.0,1,1.0
284999429,7990000.0,2,Невский,Улица Дыбенко,18,54.6,32.6,8.1,7,14,1972,,Вторичка,Кирпичный,Косметический,1.0,1,2.0
286945383,7990000.0,2,Пушкинский,Купчино,7,47.0,20.1,14.1,2,12,2025,,Новостройка,Монолитный,,,,
276766753,7930162.0,1,Московский,Московская,6,31.32,12.4,10.1,13,18,2024,"Подземная,",Новостройка,Монолитный,,1.0,1,
291795676,7900000.0,1,Кировский,Ленинский проспект,3,34.8,20.7,6.8,4,12,,,Вторичка,Кирпичный,Косметический,1.0,1,
294420823,7970000.0,1,Невский,Пролетарская,4,36.9,14.4,10.4,4,36,2012,,Вторичка,Блочный,Евроремонт,1.0,1,2.0
293176699,7900000.0,2,Адмиралтейский,Нарвская,13,53.1,40.4,6.5,4,5,1934,Наземная,Вторичка,Кирпичный,Косметический,1.0,,
285245346,7900000.0,1,Калининский,Академическая,18,36.3,18.9,8.7,7,17,1997,,Вторичка,,Косметический,1.0,1,1.0
291898004,8000132.0,1,Выборгский,Политехническая,4,24.5,18.2,,4,10,2024,Подземная,Новостройка,Монолитно-кирпичный,,,1,
288458472,8000000.0,1,Калининский,Выборгская,4,40.6,18.2,7.5,4,9,2006,Наземная,Вторичка,Кирпичный,Косметический,1.0,1,1.0
